Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk-165dp+000 (x2 = -16.5, x3 = +0.00 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:12 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
0.000000000000E+00 0 0.000000000000E+000 -9.06016 -16.1185 -3.220000076294E+001 -2.815013582818E-006 7.602059993903E+000
4.730784291480E+00 4.18462e-09 2.801565046044E-013 -9.04661 -12.9287 -3.221014381431E+001 4.225710693567E-003 7.602059999833E+000
2.176648428479E+01 2.03963e-08 6.252395096118E-012 -8.99392 -12.2016 -3.224956244666E+001 1.999071730638E-002 7.602060008780E+000
3.079169488441E+01 3.00532e-08 1.429684675322E-011 -8.93674 -11.8811 -3.229234299904E+001 3.670530553868E-002 7.602060001921E+000
3.287664990357E+01 3.2595e-08 1.772452020809E-011 -8.87456 -11.642 -3.233885051695E+001 5.524259881042E-002 7.602059996961E+000
3.354150115693E+01 3.35615e-08 1.970981153182E-011 -8.78439 -11.3811 -3.240626689358E+001 8.201340447427E-002 7.602059993686E+000
3.375324906029E+01 3.39343e-08 2.075520510188E-011 -8.72035 -11.2284 -3.245413656917E+001 1.007444006029E-001 7.602059991938E+000
