Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk-165dp-120 (x2 = -16.5, x3 = -12.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:11 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
0.000000000000E+00 0 0.000000000000E+000 -9.06016 -16.1185 -3.220000076294E+001 -2.815013582818E-006 7.602059993903E+000
4.730784291480E+00 4.12024e-09 2.276882983533E-014 -9.05986 -14.0384 -3.220022685753E+001 3.382971519775E-004 7.602060000532E+000
2.176648428479E+01 1.8985e-08 3.885168271430E-013 -9.05837 -13.4751 -3.220133864726E+001 1.233394749969E-003 7.602060024103E+000
3.079169488441E+01 2.68908e-08 7.695822359980E-013 -9.05605 -13.2584 -3.220307929103E+001 2.020932237565E-003 7.602060036257E+000
3.287664990357E+01 2.87284e-08 9.035238163488E-013 -9.05261 -13.0924 -3.220565188110E+001 2.938401868212E-003 7.602060038943E+000
3.354150115693E+01 2.93203e-08 9.675267025346E-013 -9.04734 -12.9239 -3.220959201080E+001 4.279740696939E-003 7.602060039735E+000
3.375324906029E+01 2.95109e-08 9.953886640829E-013 -9.0437 -12.836 -3.221231875826E+001 5.196996652049E-003 7.602060039964E+000
