 t max_slip_rate moment_rate
0 -40000.0 -14500.0 0.0
1 -40000.0 -14000.0 0.0
2 -40000.0 -13500.0 0.0
3 -40000.0 -13000.0 0.0
4 -40000.0 -12500.0 0.0
5 -40000.0 -12000.0 0.0
6 -40000.0 -11500.0 0.0
7 -40000.0 -11000.0 0.0
8 -40000.0 -10500.0 0.0
9 -40000.0 -10000.0 0.0
10 -40000.0 -9500.0 0.0
11 -40000.0 -9000.0 0.0
12 -40000.0 -8500.0 0.0
13 -40000.0 -8000.0 0.0
14 -40000.0 -7500.0 0.0
15 -40000.0 -7000.0 0.0
16 -40000.0 -6500.0 0.0
17 -40000.0 -6000.0 0.0
18 -40000.0 -5500.0 0.0
19 -40000.0 -5000.0 0.0
20 -40000.0 -4500.0 0.0
21 -40000.0 -4000.0 0.0
22 -40000.0 -3500.0 0.0
23 -40000.0 -3000.0 0.0
24 -40000.0 -2500.0 0.0
25 -40000.0 -2000.0 0.0
26 -40000.0 -1500.0 0.0
27 -40000.0 -1000.0 0.0
28 -40000.0 -500.0 0.0
29 -40000.0 0.0 0.0
30 -40000.0 500.0 0.0
31 -40000.0 1000.0 0.0
32 -40000.0 1500.0 0.0
33 -40000.0 2000.0 0.0
34 -40000.0 2500.0 0.0
35 -40000.0 3000.0 0.0
36 -40000.0 3500.0 0.0
37 -40000.0 4000.0 0.0
38 -40000.0 4500.0 0.0
39 -40000.0 5000.0 0.0
40 -40000.0 5500.0 0.0
41 -40000.0 6000.0 0.0
42 -40000.0 6500.0 0.0
43 -40000.0 7000.0 0.0
44 -40000.0 7500.0 0.0
45 -40000.0 8000.0 0.0
46 -40000.0 8500.0 0.0
47 -40000.0 9000.0 0.0
48 -40000.0 9500.0 0.0
49 -40000.0 10000.0 0.0
50 -40000.0 10500.0 0.0
51 -40000.0 11000.0 0.0
52 -40000.0 11500.0 0.0
53 -40000.0 12000.0 0.0
54 -40000.0 12500.0 0.0
55 -40000.0 13000.0 0.0
56 -40000.0 13500.0 0.0
57 -40000.0 14000.0 0.0
58 -40000.0 14500.0 0.0
59 -40000.0 15000.0 0.0
60 -40000.0 15500.0 0.0
61 -40000.0 16000.0 0.0
62 -40000.0 16500.0 0.0
63 -40000.0 17000.0 0.0
64 -40000.0 17500.0 0.0
65 -40000.0 18000.0 0.0
66 -40000.0 18500.0 0.0
67 -40000.0 19000.0 0.0
68 -40000.0 19500.0 0.0
69 -40000.0 20000.0 0.0
70 -39500.0 -20000.0 0.0
71 -39500.0 -19500.0 0.0
72 -39500.0 -19000.0 0.0
73 -39500.0 -18500.0 0.0
74 -39500.0 -18000.0 0.0
75 -39500.0 -17500.0 0.0
76 -39500.0 -17000.0 0.0
77 -39500.0 -16500.0 0.0
78 -39500.0 -16000.0 0.0
79 -39500.0 -15500.0 0.0
80 -39500.0 -15000.0 0.0
81 -39500.0 -14500.0 0.0
82 -39500.0 -14000.0 0.0
83 -39500.0 -13500.0 0.0
84 -39500.0 -13000.0 0.0
85 -39500.0 -12500.0 0.0
86 -39500.0 -12000.0 0.0
87 -39500.0 -11500.0 0.0
88 -39500.0 -11000.0 0.0
89 -39500.0 -10500.0 0.0
90 -39500.0 -10000.0 0.0
91 -39500.0 -9500.0 0.0
92 -39500.0 -9000.0 0.0
93 -39500.0 -8500.0 0.0
94 -39500.0 -8000.0 0.0
95 -39500.0 -7500.0 0.0
96 -39500.0 -7000.0 0.0
97 -39500.0 -6500.0 0.0
98 -39500.0 -6000.0 0.0
99 -39500.0 -5500.0 0.0
100 -39500.0 -5000.0 0.0
101 -39500.0 -4500.0 0.0
102 -39500.0 -4000.0 0.0
103 -39500.0 -3500.0 0.0
104 -39500.0 -3000.0 0.0
105 -39500.0 -2500.0 0.0
106 -39500.0 -2000.0 0.0
107 -39500.0 -1500.0 0.0
108 -39500.0 -1000.0 0.0
109 -39500.0 -500.0 0.0
110 -39500.0 0.0 0.0
111 -39500.0 500.0 0.0
112 -39500.0 1000.0 0.0
113 -39500.0 1500.0 0.0
114 -39500.0 2000.0 0.0
115 -39500.0 2500.0 0.0
116 -39500.0 3000.0 0.0
117 -39500.0 3500.0 0.0
118 -39500.0 4000.0 0.0
119 -39500.0 4500.0 0.0
120 -39500.0 5000.0 0.0
121 -39500.0 5500.0 0.0
122 -39500.0 6000.0 0.0
123 -39500.0 6500.0 0.0
124 -39500.0 7000.0 0.0
125 -39500.0 7500.0 0.0
126 -39500.0 8000.0 0.0
127 -39500.0 8500.0 0.0
128 -39500.0 9000.0 0.0
129 -39500.0 9500.0 0.0
130 -39500.0 10000.0 0.0
131 -39500.0 10500.0 0.0
132 -39500.0 11000.0 0.0
133 -39500.0 11500.0 0.0
134 -39500.0 12000.0 0.0
135 -39500.0 12500.0 0.0
136 -39500.0 13000.0 0.0
