t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-9.0000000E+00;-2.0000000E+01;3.2245020E+01;3.2245020E-10;7.6020600E+00
4.81139337952271E-02;4.8114019E-11;2.9661633E-19;-8.9999985E+00;-1.6909416E+01;3.2245022E+01;3.9723242E-07;7.6020600E+00
1.44341801385681E-01;1.4434257E-10;2.6665342E-18;-8.9999954E+00;-1.6432551E+01;3.2245024E+01;1.1909877E-06;7.6020600E+00
3.36797536566590E-01;3.3680174E-10;1.4512736E-17;-8.9999891E+00;-1.6064635E+01;3.2245029E+01;2.7785393E-06;7.6020600E+00
7.21709006928406E-01;7.2172836E-10;6.6636659E-17;-8.9999766E+00;-1.5733483E+01;3.2245038E+01;5.9560198E-06;7.6020600E+00
1.49153194765204E+00;1.4916150E-09;2.8478993E-16;-8.9999513E+00;-1.5417249E+01;3.2245057E+01;1.2335750E-05;7.6020600E+00
3.03117782909931E+00;3.0315244E-09;1.1798891E-15;-8.9998991E+00;-1.5105441E+01;3.2245096E+01;2.5288435E-05;7.6020600E+00
6.11046959199384E+00;6.1119099E-09;4.8510160E-15;-8.9997876E+00;-1.4788182E+01;3.2245179E+01;5.2489277E-05;7.6020600E+00
8.99730561970747E+00;9.0005228E-09;1.0744980E-14;-8.9996723E+00;-1.4603249E+01;3.2245266E+01;8.0332166E-05;7.6020600E+00
1.14030023094688E+01;1.1408317E-08;1.7655168E-14;-8.9995656E+00;-1.4483049E+01;3.2245346E+01;1.0592137E-04;7.6020600E+00
1.34719014626636E+01;1.3479518E-08;2.5202730E-14;-8.9994639E+00;-1.4393269E+01;3.2245422E+01;1.3021563E-04;7.6020600E+00
1.52521170130870E+01;1.5262122E-08;3.3009804E-14;-8.9993670E+00;-1.4322293E+01;3.2245494E+01;1.5330017E-04;7.6020600E+00
1.67436489607390E+01;1.6755977E-08;4.0583415E-14;-8.9992774E+00;-1.4265674E+01;3.2245561E+01;1.7461178E-04;7.6020600E+00
1.80427251732102E+01;1.8057339E-08;4.8023746E-14;-8.9991915E+00;-1.4217611E+01;3.2245626E+01;1.9500758E-04;7.6020600E+00
1.91493456505004E+01;1.9166120E-08;5.5042668E-14;-8.9991112E+00;-1.4177064E+01;3.2245686E+01;2.1405178E-04;7.6020600E+00
2.01116243264049E+01;2.0130451E-08;6.1703390E-14;-8.9990349E+00;-1.4141746E+01;3.2245743E+01;2.3214583E-04;7.6020600E+00
2.09776751347190E+01;2.0998500E-08;6.8181975E-14;-8.9989599E+00;-1.4109635E+01;3.2245799E+01;2.4991805E-04;7.6020600E+00
2.16993841416474E+01;2.1721994E-08;7.3963153E-14;-8.9988918E+00;-1.4082431E+01;3.2245850E+01;2.6603269E-04;7.6020600E+00
2.23729792147806E+01;2.2397362E-08;7.9699213E-14;-8.9988229E+00;-1.4056495E+01;3.2245901E+01;2.8235955E-04;7.6020600E+00
2.29503464203233E+01;2.2976337E-08;8.4900114E-14;-8.9987587E+00;-1.4033693E+01;3.2245949E+01;2.9753728E-04;7.6020600E+00
2.34314857582756E+01;2.3458884E-08;8.9451172E-14;-8.9987011E+00;-1.4014171E+01;3.2245992E+01;3.1117556E-04;7.6020600E+00
2.38645111624326E+01;2.3893234E-08;9.3728423E-14;-8.9986454E+00;-1.3996105E+01;3.2246034E+01;3.2435208E-04;7.6020600E+00
2.42494226327945E+01;2.4279371E-08;9.7685128E-14;-8.9985924E+00;-1.3979570E+01;3.2246074E+01;3.3689875E-04;7.6020600E+00
2.46343341031563E+01;2.4665556E-08;1.0179766E-13;-8.9985355E+00;-1.3962503E+01;3.2246116E+01;3.5035646E-04;7.6020600E+00
2.49711316397229E+01;2.5003511E-08;1.0553362E-13;-8.9984820E+00;-1.3947052E+01;3.2246156E+01;3.6300087E-04;7.6020600E+00
