t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-9.0000000E+00;-2.0000000E+01;3.2245020E+01;3.2245020E-10;7.6020600E+00
4.81139337952271E-02;4.8113987E-11;-9.3187025E-20;-8.9999990E+00;-1.7414316E+01;3.2245021E+01;-1.2420679E-07;7.6020600E+00
1.44341801385681E-01;1.4434228E-10;-8.3248672E-19;-8.9999971E+00;-1.6943465E+01;3.2245023E+01;-3.6727782E-07;7.6020600E+00
3.36797536566590E-01;3.3680017E-10;-4.4523473E-18;-8.9999932E+00;-1.6589089E+01;3.2245026E+01;-8.3055141E-07;7.6020600E+00
7.21709006928406E-01;7.2172111E-10;-1.9726300E-17;-8.9999854E+00;-1.6284824E+01;3.2245031E+01;-1.6734952E-06;7.6020600E+00
1.49153194765204E+00;1.4915839E-09;-7.8627703E-17;-8.9999695E+00;-1.6020257E+01;3.2245043E+01;-3.0773374E-06;7.6020600E+00
3.03117782909931E+00;3.0313947E-09;-2.8542298E-16;-8.9999368E+00;-1.5804929E+01;3.2245068E+01;-5.0520948E-06;7.6020600E+00
6.11046959199384E+00;6.1113712E-09;-9.1973356E-16;-8.9998670E+00;-1.5667687E+01;3.2245120E+01;-6.9285736E-06;7.6020600E+00
8.99730561970747E+00;8.9993202E-09;-1.5824378E-15;-8.9997946E+00;-1.5651906E+01;3.2245174E+01;-7.1837885E-06;7.6020600E+00
1.14030023094688E+01;1.1406332E-08;-2.1083095E-15;-8.9997276E+00;-1.5693827E+01;3.2245224E+01;-6.5217745E-06;7.6020600E+00
1.34719014626636E+01;1.3476674E-08;-2.4984723E-15;-8.9996637E+00;-1.5779414E+01;3.2245272E+01;-5.3544573E-06;7.6020600E+00
1.52521170130870E+01;1.5258387E-08;-2.7598279E-15;-8.9996027E+00;-1.5918696E+01;3.2245318E+01;-3.8848456E-06;7.6020600E+00
1.67436489607390E+01;1.6751377E-08;-2.9066721E-15;-8.9995463E+00;-1.6149560E+01;3.2245360E+01;-2.2827224E-06;7.6020600E+00
1.80427251732102E+01;1.8051888E-08;-2.9672908E-15;-8.9994922E+00;-1.6753189E+01;3.2245400E+01;-5.6855337E-07;7.6020600E+00
1.91493456505004E+01;1.9159865E-08;-2.9592838E-15;-8.9994416E+00;-1.6440796E+01;3.2245438E+01;1.1671166E-06;7.6020600E+00
2.01116243264049E+01;2.0123433E-08;-2.8999831E-15;-8.9993935E+00;-1.6042385E+01;3.2245474E+01;2.9206329E-06;7.6020600E+00
2.09776751347190E+01;2.0990739E-08;-2.7986339E-15;-8.9993461E+00;-1.5832960E+01;3.2245510E+01;4.7299398E-06;7.6020600E+00
2.16993841416474E+01;2.1713570E-08;-2.6745354E-15;-8.9993032E+00;-1.5699097E+01;3.2245542E+01;6.4368824E-06;7.6020600E+00
2.23729792147806E+01;2.2388279E-08;-2.5221736E-15;-8.9992596E+00;-1.5592642E+01;3.2245575E+01;8.2240871E-06;7.6020600E+00
2.29503464203233E+01;2.2966658E-08;-2.3601006E-15;-8.9992190E+00;-1.5510616E+01;3.2245605E+01;9.9328484E-06;7.6020600E+00
2.34314857582756E+01;2.3448682E-08;-2.2003972E-15;-8.9991826E+00;-1.5446810E+01;3.2245632E+01;1.1503860E-05;7.6020600E+00
2.38645111624326E+01;2.3882541E-08;-2.0356470E-15;-8.9991473E+00;-1.5391971E+01;3.2245659E+01;1.3051118E-05;7.6020600E+00
2.42494226327945E+01;2.4268223E-08;-1.8709442E-15;-8.9991137E+00;-1.5344742E+01;3.2245684E+01;1.4549356E-05;7.6020600E+00
2.46343341031563E+01;2.4653936E-08;-1.6875620E-15;-8.9990777E+00;-1.5298532E+01;3.2245711E+01;1.6181459E-05;7.6020600E+00
2.49711316397229E+01;2.4991462E-08;-1.5103672E-15;-8.9990438E+00;-1.5258637E+01;3.2245736E+01;1.7736959E-05;7.6020600E+00
2.52598152424942E+01;2.5280792E-08;-1.3449818E-15;-8.9990127E+00;-1.5224646E+01;3.2245759E+01;1.9179604E-05;7.6020600E+00
