t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-3.0000000E+00;-2.0000000E+01;3.6735061E+01;3.6735061E-16;7.6020600E+00
4.81139337952271E-02;4.8047864E-05;-4.1697347E-12;-3.0011890E+00;-9.7556978E+00;3.6733391E+01;-6.4647571E-06;7.6015383E+00
1.44341801385681E-01;1.4375180E-04;-3.8020431E-11;-3.0035350E+00;-9.2702439E+00;3.6730080E+01;-1.9875264E-05;7.6004992E+00
3.36797536566590E-01;3.3363078E-04;-2.1138540E-10;-3.0081019E+00;-8.8862926E+00;3.6723577E+01;-4.8613202E-05;7.5984376E+00
7.21709006928406E-01;7.0756467E-04;-1.0089236E-09;-3.0167571E+00;-8.5258071E+00;3.6711023E+01;-1.1369633E-04;7.5943777E+00
1.49153194765204E+00;1.4342600E-03;-4.6211033E-09;-3.0323111E+00;-8.1594459E+00;3.6687575E+01;-2.7376899E-04;7.5864877E+00
3.03117782909931E+00;2.8171815E-03;-2.1481357E-08;-3.0574607E+00;-7.7706228E+00;3.6646282E+01;-7.0936175E-04;7.5714729E+00
6.11046959199384E+00;5.3835711E-03;-1.0494192E-07;-3.0900575E+00;-7.3480078E+00;3.6580185E+01;-2.0197403E-03;7.5436087E+00
8.99730561970747E+00;7.6654940E-03;-2.7606994E-07;-3.1074976E+00;-7.0931841E+00;3.6530052E+01;-3.7754071E-03;7.5188331E+00
1.14030023094688E+01;9.5208922E-03;-5.1050648E-07;-3.1144242E+00;-6.9217458E+00;3.6494718E+01;-5.6873295E-03;7.4986884E+00
1.34719014626636E+01;1.1104369E-02;-7.9726251E-07;-3.1154075E+00;-6.7896187E+00;3.6468251E+01;-7.7215378E-03;7.4814960E+00
1.52521170130870E+01;1.2470715E-02;-1.1228572E-06;-3.1126871E+00;-6.6822434E+00;3.6448083E+01;-9.8201554E-03;7.4666611E+00
1.67436489607390E+01;1.3626222E-02;-1.4647472E-06;-3.1077954E+00;-6.5945241E+00;3.6432966E+01;-1.1878615E-02;7.4541154E+00
1.80427251732102E+01;1.4646020E-02;-1.8244981E-06;-3.1014510E+00;-6.5185234E+00;3.6421141E+01;-1.3940590E-02;7.4430431E+00
1.91493456505004E+01;1.5528489E-02;-2.1852615E-06;-3.0943615E+00;-6.4532646E+00;3.6412106E+01;-1.5934657E-02;7.4334618E+00
2.01116243264049E+01;1.6309037E-02;-2.5467974E-06;-3.0867850E+00;-6.3955541E+00;3.6405091E+01;-1.7881054E-02;7.4249871E+00
2.09776751347190E+01;1.7024367E-02;-2.9165445E-06;-3.0786950E+00;-6.3423818E+00;3.6399520E+01;-1.9833933E-02;7.4172206E+00
