t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-9.0000000E+00;-2.0000000E+01;3.2245020E+01;3.2245020E-10;7.6020600E+00
4.81139337952271E-02;4.8114131E-11;2.3722786E-18;-8.9999964E+00;-1.6006916E+01;3.2245023E+01;3.1735326E-06;7.6020600E+00
1.44341801385681E-01;1.4434358E-10;2.1295775E-17;-8.9999893E+00;-1.5531405E+01;3.2245028E+01;9.4852127E-06;7.6020600E+00
3.36797536566590E-01;3.3680720E-10;1.1544819E-16;-8.9999751E+00;-1.5166577E+01;3.2245039E+01;2.1971561E-05;7.6020600E+00
7.21709006928406E-01;7.2175332E-10;5.2575615E-16;-8.9999467E+00;-1.4841774E+01;3.2245060E+01;4.6412603E-05;7.6020600E+00
1.49153194765204E+00;1.4917210E-09;2.2097198E-15;-8.9998901E+00;-1.4538435E+01;3.2245103E+01;9.3307928E-05;7.6020600E+00
3.03117782909931E+00;3.0319578E-09;8.8520977E-15;-8.9997762E+00;-1.4252209E+01;3.2245188E+01;1.8031526E-04;7.6020600E+00
6.11046959199384E+00;6.1136516E-09;3.4096101E-14;-8.9995412E+00;-1.3982151E+01;3.2245364E+01;3.3562710E-04;7.6020600E+00
8.99730561970747E+00;9.0042978E-09;7.0508718E-14;-8.9993045E+00;-1.3834282E+01;3.2245541E+01;4.7151107E-04;7.6020600E+00
1.14030023094688E+01;1.1414423E-08;1.0993390E-13;-8.9990894E+00;-1.3742471E+01;3.2245702E+01;5.8222422E-04;7.6020600E+00
1.34719014626636E+01;1.3488127E-08;1.5044430E-13;-8.9988870E+00;-1.3676162E+01;3.2245853E+01;6.7795265E-04;7.6020600E+00
1.52521170130870E+01;1.5273286E-08;1.9028245E-13;-8.9986960E+00;-1.3625066E+01;3.2245996E+01;7.6226466E-04;7.6020600E+00
1.67436489607390E+01;1.6769592E-08;2.2732178E-13;-8.9985207E+00;-1.3585112E+01;3.2246127E+01;8.3538496E-04;7.6020600E+00
1.80427251732102E+01;1.8073341E-08;2.6241228E-13;-8.9983537E+00;-1.3551736E+01;3.2246252E+01;9.0177179E-04;7.6020600E+00
1.91493456505004E+01;1.9184355E-08;2.9447986E-13;-8.9981985E+00;-1.3523953E+01;3.2246369E+01;9.6100615E-04;7.6020600E+00
2.01116243264049E+01;2.0150790E-08;3.2407324E-13;-8.9980516E+00;-1.3500021E+01;3.2246478E+01;1.0151089E-03;7.6020600E+00
2.09776751347190E+01;2.1020873E-08;3.5213773E-13;-8.9979079E+00;-1.3478471E+01;3.2246586E+01;1.0664019E-03;7.6020600E+00
2.16993841416474E+01;2.1746172E-08;3.7661794E-13;-8.9977779E+00;-1.3460362E+01;3.2246683E+01;1.1114772E-03;7.6020600E+00
2.23729792147806E+01;2.2423321E-08;4.0041173E-13;-8.9976467E+00;-1.3443220E+01;3.2246782E+01;1.1558795E-03;7.6020600E+00
2.29503464203233E+01;2.3003903E-08;4.2157531E-13;-8.9975250E+00;-1.3428243E+01;3.2246873E+01;1.1961053E-03;7.6020600E+00
2.34314857582756E+01;2.3487851E-08;4.3978472E-13;-8.9974159E+00;-1.3415487E+01;3.2246954E+01;1.2314520E-03;7.6020600E+00
2.38645111624326E+01;2.3923512E-08;4.5664242E-13;-8.9973108E+00;-1.3403733E+01;3.2247033E+01;1.2649339E-03;7.6020600E+00
2.42494226327945E+01;2.4310857E-08;4.7202009E-13;-8.9972109E+00;-1.3393015E+01;3.2247108E+01;1.2962443E-03;7.6020600E+00
2.46343341031563E+01;2.4698295E-08;4.8778700E-13;-8.9971040E+00;-1.3381989E+01;3.2247188E+01;1.3292492E-03;7.6020600E+00
2.49711316397229E+01;2.5037383E-08;5.0192067E-13;-8.9970038E+00;-1.3372039E+01;3.2247263E+01;1.3597467E-03;7.6020600E+00
2.52598152424942E+01;2.5328095E-08;5.1430001E-13;-8.9969122E+00;-1.3363242E+01;3.2247331E+01;1.3872794E-03;7.6020600E+00
2.55003849114704E+01;2.5570403E-08;5.2481254E-13;-8.9968312E+00;-1.3355692E+01;3.2247392E+01;1.4113455E-03;7.6020600E+00
2.57409545804465E+01;2.5812758E-08;5.3551203E-13;-8.9967454E+00;-1.3347915E+01;3.2247456E+01;1.4365665E-03;7.6020600E+00
2.59334103156274E+01;2.6006677E-08;5.4421297E-13;-8.9966729E+00;-1.3341507E+01;3.2247510E+01;1.4576803E-03;7.6020600E+00
2.61258660508083E+01;2.6200630E-08;5.5304504E-13;-8.9965966E+00;-1.3334912E+01;3.2247567E+01;1.4797254E-03;7.6020600E+00
2.63183217859892E+01;2.6394617E-08;5.6201425E-13;-8.9965161E+00;-1.3328109E+01;3.2247628E+01;1.5028110E-03;7.6020600E+00
2.64626635873749E+01;2.6540132E-08;5.6883559E-13;-8.9964525E+00;-1.3322854E+01;3.2247675E+01;1.5208874E-03;7.6020600E+00
2.66070053887606E+01;2.6685668E-08;5.7574107E-13;-8.9963860E+00;-1.3317453E+01;3.2247725E+01;1.5396845E-03;7.6020600E+00
2.67513471901463E+01;2.6831228E-08;5.8273417E-13;-8.9963162E+00;-1.3311893E+01;3.2247777E+01;1.5592746E-03;7.6020600E+00
2.68956889915320E+01;2.6976811E-08;5.8981874E-13;-8.9962428E+00;-1.3306158E+01;3.2247832E+01;1.5797406E-03;7.6020600E+00
2.70400307929176E+01;2.7122420E-08;5.9699901E-13;-8.9961655E+00;-1.3300227E+01;3.2247890E+01;1.6011782E-03;7.6020600E+00
2.71362586605081E+01;2.7219507E-08;6.0184165E-13;-8.9961114E+00;-1.3296154E+01;3.2247930E+01;1.6160667E-03;7.6020600E+00
2.72324865280985E+01;2.7316606E-08;6.0673047E-13;-8.9960553E+00;-1.3291977E+01;3.2247972E+01;1.6314742E-03;7.6020600E+00
2.73287143956890E+01;2.7413719E-08;6.1166714E-13;-8.9959968E+00;-1.3287690E+01;3.2248016E+01;1.6474424E-03;7.6020600E+00
2.74249422632794E+01;2.7510844E-08;6.1665346E-13;-8.9959358E+00;-1.3283281E+01;3.2248062E+01;1.6640180E-03;7.6020600E+00
2.75211701308699E+01;2.7607984E-08;6.2169136E-13;-8.9958722E+00;-1.3278743E+01;3.2248109E+01;1.6812533E-03;7.6020600E+00
2.76173979984604E+01;2.7705138E-08;6.2678298E-13;-8.9958055E+00;-1.3274064E+01;3.2248159E+01;1.6992071E-03;7.6020600E+00
2.76655119322556E+01;2.7753721E-08;6.2934979E-13;-8.9957710E+00;-1.3271668E+01;3.2248185E+01;1.7084754E-03;7.6020600E+00
2.77136258660508E+01;2.7802307E-08;6.3193092E-13;-8.9957356E+00;-1.3269231E+01;3.2248212E+01;1.7179491E-03;7.6020600E+00
2.77617397998460E+01;2.7850898E-08;6.3452670E-13;-8.9956994E+00;-1.3266753E+01;3.2248239E+01;1.7276376E-03;7.6020600E+00
2.78098537336413E+01;2.7899493E-08;6.3713745E-13;-8.9956622E+00;-1.3264231E+01;3.2248267E+01;1.7375514E-03;7.6020600E+00
2.78579676674365E+01;2.7948092E-08;6.3976355E-13;-8.9956241E+00;-1.3261664E+01;3.2248295E+01;1.7477014E-03;7.6020600E+00
2.79060816012317E+01;2.7996695E-08;6.4240535E-13;-8.9955849E+00;-1.3259049E+01;3.2248324E+01;1.7580993E-03;7.6020600E+00
2.79541955350270E+01;2.8045303E-08;6.4506326E-13;-8.9955447E+00;-1.3256384E+01;3.2248354E+01;1.7687577E-03;7.6020600E+00
2.80023094688222E+01;2.8093915E-08;6.4773769E-13;-8.9955033E+00;-1.3253667E+01;3.2248385E+01;1.7796899E-03;7.6020600E+00
2.80504234026174E+01;2.8142532E-08;6.5042906E-13;-8.9954608E+00;-1.3250895E+01;3.2248417E+01;1.7909104E-03;7.6020600E+00
2.80985373364126E+01;2.8191154E-08;6.5313784E-13;-8.9954170E+00;-1.3248066E+01;3.2248450E+01;1.8024345E-03;7.6020600E+00
2.81466512702079E+01;2.8239781E-08;6.5586450E-13;-8.9953719E+00;-1.3245177E+01;3.2248484E+01;1.8142787E-03;7.6020600E+00
2.81947652040031E+01;2.8288413E-08;6.5860956E-13;-8.9953254E+00;-1.3242225E+01;3.2248519E+01;1.8264608E-03;7.6020600E+00
2.82428791377983E+01;2.8337050E-08;6.6137355E-13;-8.9952774E+00;-1.3239206E+01;3.2248555E+01;1.8389997E-03;7.6020600E+00
2.82909930715936E+01;2.8385693E-08;6.6415704E-13;-8.9952279E+00;-1.3236117E+01;3.2248592E+01;1.8519161E-03;7.6020600E+00
2.83391070053888E+01;2.8434341E-08;6.6696062E-13;-8.9951767E+00;-1.3232955E+01;3.2248630E+01;1.8652320E-03;7.6020600E+00
