t;max_slip_rate;moment_rate
4.81139337952271E-02;-2.9991310E+00;5.0113676E+15
1.44341801385681E-01;-2.9973891E+00;5.0221017E+15
3.36797536566590E-01;-2.9938892E+00;5.0439629E+15
7.21709006928406E-01;-2.9868235E+00;5.0892388E+15
1.49153194765204E+00;-2.9724128E+00;5.1859103E+15
3.03117782909931E+00;-2.9423525E+00;5.4037390E+15
6.11046959199384E+00;-2.8762744E+00;5.9461185E+15
8.99730561970747E+00;-2.8048219E+00;6.6173564E+15
1.14030023094688E+01;-2.7360095E+00;7.3462100E+15
1.34719014626636E+01;-2.6680260E+00;8.1499364E+15
1.52521170130870E+01;-2.6011532E+00;9.0286325E+15
1.67436489607390E+01;-2.5374914E+00;9.9534981E+15
1.80427251732102E+01;-2.4748798E+00;1.0955122E+16
1.91493456505004E+01;-2.4149771E+00;1.2007086E+16
2.01116243264049E+01;-2.3568299E+00;1.3124481E+16
2.09776751347190E+01;-2.2986135E+00;1.4347752E+16
2.16993841416474E+01;-2.2449471E+00;1.5577359E+16
2.23729792147806E+01;-2.1897995E+00;1.6953207E+16
2.29503464203233E+01;-2.1379117E+00;1.8362177E+16
2.34314857582756E+01;-2.0908466E+00;1.9745729E+16
2.38645111624326E+01;-2.0450474E+00;2.1197720E+16
2.42494226327945E+01;-2.0012023E+00;2.2694472E+16
2.46343341031563E+01;-1.9539951E+00;2.4433839E+16
2.49711316397229E+01;-1.9095469E+00;2.6204398E+16
2.52598152424942E+01;-1.8688092E+00;2.7951200E+16
2.55003849114704E+01;-1.8327838E+00;2.9603640E+16
2.57409545804465E+01;-1.7946747E+00;3.1471204E+16
2.59334103156274E+01;-1.7625380E+00;3.3149317E+16
2.61258660508083E+01;-1.7288064E+00;3.5020501E+16
2.63183217859892E+01;-1.6933423E+00;3.7118694E+16
2.64626635873749E+01;-1.6655100E+00;3.8866545E+16
2.66070053887606E+01;-1.6365450E+00;4.0787017E+16
2.67513471901463E+01;-1.6063700E+00;4.2905583E+16
2.68956889915320E+01;-1.5749006E+00;4.5252679E+16
2.70400307929176E+01;-1.5420455E+00;4.7864900E+16
2.71362586605081E+01;-1.5193182E+00;4.9775619E+16
2.72324865280985E+01;-1.4958986E+00;5.1839187E+16
2.73287143956890E+01;-1.4717536E+00;5.4073272E+16
2.74249422632794E+01;-1.4468478E+00;5.6498167E+16
2.75211701308699E+01;-1.4211442E+00;5.9137256E+16
2.76173979984604E+01;-1.3946036E+00;6.2017578E+16
2.76655119322556E+01;-1.3810035E+00;6.3558165E+16
2.77136258660508E+01;-1.3671784E+00;6.5171262E+16
2.77617397998460E+01;-1.3531228E+00;6.6861613E+16
2.78098537336413E+01;-1.3388309E+00;6.8634351E+16
2.78579676674365E+01;-1.3242971E+00;7.0495030E+16
2.79060816012317E+01;-1.3095155E+00;7.2449670E+16
2.79541955350270E+01;-1.2944801E+00;7.4504800E+16
2.80023094688222E+01;-1.2791846E+00;7.6667508E+16
2.80504234026174E+01;-1.2636230E+00;7.8945501E+16
2.80985373364126E+01;-1.2477886E+00;8.1347163E+16
2.81466512702079E+01;-1.2316752E+00;8.3881625E+16
2.81947652040031E+01;-1.2152758E+00;8.6558844E+16
2.82428791377983E+01;-1.1985839E+00;8.9389690E+16
2.82909930715936E+01;-1.1815926E+00;9.2386040E+16
2.83391070053888E+01;-1.1642949E+00;9.5560886E+16
2.83872209391840E+01;-1.1466836E+00;9.8928458E+16
2.84353348729792E+01;-1.1287517E+00;1.0250436E+17
2.84834488067745E+01;-1.1104920E+00;1.0630571E+17
2.85315627405697E+01;-1.0918970E+00;1.1035132E+17
2.85796766743649E+01;-1.0729596E+00;1.1466190E+17
2.86277906081602E+01;-1.0536721E+00;1.1926025E+17
2.86759045419554E+01;-1.0340273E+00;1.2417150E+17
2.87240184757506E+01;-1.0140177E+00;1.2942341E+17
2.87721324095458E+01;-9.9363579E-01;1.3504663E+17
2.88202463433411E+01;-9.7287418E-01;1.4107510E+17
2.88683602771363E+01;-9.5172547E-01;1.4754640E+17
2.89164742109315E+01;-9.3018233E-01;1.5450221E+17
2.89645881447268E+01;-9.0823751E-01;1.6198881E+17
2.90127020785220E+01;-8.8588385E-01;1.7005762E+17
2.90608160123172E+01;-8.6311434E-01;1.7876588E+17
2.91089299461124E+01;-8.3992208E-01;1.8817733E+17
2.91570438799077E+01;-8.1630038E-01;1.9836308E+17
2.92051578137029E+01;-7.9224273E-01;2.0940249E+17
2.92532717474981E+01;-7.6774285E-01;2.2138429E+17
2.93013856812934E+01;-7.4279469E-01;2.3440774E+17
2.93494996150886E+01;-7.1739249E-01;2.4858402E+17
2.93976135488838E+01;-6.9153081E-01;2.6403779E+17
2.94457274826790E+01;-6.6520449E-01;2.8090895E+17
2.94938414164743E+01;-6.3840876E-01;2.9935471E+17
2.95419553502695E+01;-6.1113920E-01;3.1955183E+17
2.95900692840647E+01;-5.8339179E-01;3.4169931E+17
2.96381832178600E+01;-5.5516295E-01;3.6602132E+17
2.96862971516552E+01;-5.2644955E-01;3.9277069E+17
2.97344110854504E+01;-4.9724894E-01;4.2223275E+17
2.97825250192456E+01;-4.6755900E-01;4.5472974E+17
2.98306389530409E+01;-4.3737822E-01;4.9062593E+17
2.98787528868361E+01;-4.0670578E-01;5.3033327E+17
2.99268668206313E+01;-3.7554178E-01;5.7431788E+17
2.99749807544266E+01;-3.4388753E-01;6.2310736E+17
3.00230946882218E+01;-3.1174632E-01;6.7729891E+17
3.00712086220170E+01;-2.7912483E-01;7.3756824E+17
3.01193225558122E+01;-2.4603626E-01;8.0467909E+17
3.01674364896075E+01;-2.1250744E-01;8.7949259E+17
3.02155504234027E+01;-1.7859563E-01;9.6297490E+17
3.02636643571979E+01;-1.4443041E-01;1.0561979E+18
3.03117782909932E+01;-1.1032177E-01;1.1603191E+18
3.03598922247884E+01;-7.7041487E-02;1.2764997E+18
3.04080061585836E+01;-4.6494754E-02;1.4056498E+18
3.04561200923788E+01;-2.2762872E-02;1.5477785E+18
3.05042340261741E+01;-1.0249357E-02;1.7009594E+18
3.05523479599693E+01;5.9311109E-04;1.8612464E+18
3.06004618937645E+01;9.4033377E-03;2.0246634E+18
3.06485758275598E+01;1.7931123E-02;2.1887348E+18
3.06966897613550E+01;2.7977359E-02;2.3521522E+18
3.07448036951502E+01;3.3724337E-02;2.5141422E+18
3.07929176289454E+01;4.2178058E-02;2.6741739E+18
3.08410315627407E+01;4.6337963E-02;2.8320973E+18
3.08891454965359E+01;5.4103009E-02;2.9882343E+18
3.09372594303311E+01;5.7714193E-02;3.1419252E+18
3.09853733641264E+01;6.1320678E-02;3.2921693E+18
3.10334872979216E+01;6.5996487E-02;3.4378408E+18
3.10816012317168E+01;6.8740788E-02;3.5765259E+18
3.11297151655120E+01;7.3437798E-02;3.7073677E+18
3.11778290993073E+01;7.7097617E-02;3.8295871E+18
3.12259430331025E+01;8.1026527E-02;3.9414902E+18
3.12740569668977E+01;8.3353543E-02;4.0458783E+18
3.13221709006930E+01;8.5892092E-02;4.1458013E+18
3.13702848344882E+01;8.7870618E-02;4.2382982E+18
3.14183987682834E+01;8.7414645E-02;4.3201580E+18
3.14665127020786E+01;8.8196361E-02;4.3928102E+18
3.15146266358739E+01;8.9214039E-02;4.4566029E+18
3.15627405696691E+01;8.6255372E-02;4.5105285E+18
3.16108545034643E+01;8.3688921E-02;4.5531565E+18
3.16589684372596E+01;8.0338227E-02;4.5858315E+18
3.17070823710548E+01;7.4721889E-02;4.6121975E+18
3.17551963048500E+01;7.1709452E-02;4.6330011E+18
