t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-0.9000000E+01;-0.2000000E+02;0.3224502E+02;0.0000000E+00;0.7602060E+01
0.10000000000000E+01;0.1000031E-08;0.0000000E+00;-0.8999986E+01;-0.2000000E+02;0.3224503E+02;0.0000000E+00;0.7602060E+01
0.25000000000000E+01;0.2500151E-08;0.0000000E+00;-0.8999965E+01;-0.2000000E+02;0.3224505E+02;0.0000000E+00;0.7602060E+01
0.47500000000000E+01;0.4750504E-08;0.0000000E+00;-0.8999932E+01;-0.2000000E+02;0.3224507E+02;0.0000000E+00;0.7602060E+01
0.81250000000000E+01;0.8126457E-08;0.0000000E+00;-0.8999877E+01;-0.2000000E+02;0.3224511E+02;0.0000000E+00;0.7602060E+01
0.13187500000000E+02;0.1319151E-07;0.0000000E+00;-0.8999781E+01;-0.2000000E+02;0.3224518E+02;0.0000000E+00;0.7602060E+01
0.20781250000000E+02;0.2079273E-07;0.0000000E+00;-0.8999573E+01;-0.2000000E+02;0.3224534E+02;0.0000000E+00;0.7602060E+01
0.23525674286573E+02;0.2354060E-07;0.0000000E+00;-0.8999456E+01;-0.2000000E+02;0.3224543E+02;0.0000000E+00;0.7602060E+01
0.24884164308427E+02;0.2490103E-07;0.0000000E+00;-0.8999379E+01;-0.2000000E+02;0.3224549E+02;0.0000000E+00;0.7602060E+01
0.26921899341207E+02;0.2694246E-07;0.0000000E+00;-0.8999214E+01;-0.2000000E+02;0.3224561E+02;0.0000000E+00;0.7602060E+01
0.27677416114828E+02;0.2769950E-07;0.0000000E+00;-0.8999123E+01;-0.2000000E+02;0.3224568E+02;0.0000000E+00;0.7602060E+01
0.28810691275259E+02;0.2883562E-07;0.0000000E+00;-0.8998912E+01;-0.2000000E+02;0.3224584E+02;0.0000000E+00;0.7602060E+01
0.29157898906924E+02;0.2918378E-07;0.0000000E+00;-0.8998810E+01;-0.2000000E+02;0.3224591E+02;0.0000000E+00;0.7602060E+01
0.29678710354421E+02;0.2970629E-07;0.0000000E+00;-0.8998587E+01;-0.2000000E+02;0.3224608E+02;0.0000000E+00;0.7602060E+01
0.29887834724184E+02;0.2991616E-07;0.0000000E+00;-0.8998457E+01;-0.2000000E+02;0.3224618E+02;0.0000000E+00;0.7602060E+01
