t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-0.9000000E+01;-0.2000000E+02;0.3224502E+02;0.0000000E+00;0.7602060E+01
0.10000000000000E+01;0.1000021E-08;0.0000000E+00;-0.8999991E+01;-0.2000000E+02;0.3224503E+02;0.0000000E+00;0.7602060E+01
0.25000000000000E+01;0.2500103E-08;0.0000000E+00;-0.8999976E+01;-0.2000000E+02;0.3224504E+02;0.0000000E+00;0.7602060E+01
0.47500000000000E+01;0.4750342E-08;0.0000000E+00;-0.8999954E+01;-0.2000000E+02;0.3224506E+02;0.0000000E+00;0.7602060E+01
0.81250000000000E+01;0.8125988E-08;0.0000000E+00;-0.8999917E+01;-0.2000000E+02;0.3224508E+02;0.0000000E+00;0.7602060E+01
0.13187500000000E+02;0.1319022E-07;0.0000000E+00;-0.8999851E+01;-0.2000000E+02;0.3224513E+02;0.0000000E+00;0.7602060E+01
0.20781250000000E+02;0.2078904E-07;0.0000000E+00;-0.8999710E+01;-0.2000000E+02;0.3224524E+02;0.0000000E+00;0.7602060E+01
0.23525674286573E+02;0.2353580E-07;0.0000000E+00;-0.8999631E+01;-0.2000000E+02;0.3224530E+02;0.0000000E+00;0.7602060E+01
0.24884164308427E+02;0.2489561E-07;0.0000000E+00;-0.8999578E+01;-0.2000000E+02;0.3224534E+02;0.0000000E+00;0.7602060E+01
0.26921899341207E+02;0.2693585E-07;0.0000000E+00;-0.8999466E+01;-0.2000000E+02;0.3224542E+02;0.0000000E+00;0.7602060E+01
0.27677416114828E+02;0.2769240E-07;0.0000000E+00;-0.8999405E+01;-0.2000000E+02;0.3224547E+02;0.0000000E+00;0.7602060E+01
0.28810691275259E+02;0.2882761E-07;0.0000000E+00;-0.8999261E+01;-0.2000000E+02;0.3224557E+02;0.0000000E+00;0.7602060E+01
0.29157898906924E+02;0.2917546E-07;0.0000000E+00;-0.8999192E+01;-0.2000000E+02;0.3224563E+02;0.0000000E+00;0.7602060E+01
0.29678710354421E+02;0.2969742E-07;0.0000000E+00;-0.8999041E+01;-0.2000000E+02;0.3224574E+02;0.0000000E+00;0.7602060E+01
0.29887834724184E+02;0.2990705E-07;0.0000000E+00;-0.8998952E+01;-0.2000000E+02;0.3224580E+02;0.0000000E+00;0.7602060E+01
0.30201521278830E+02;0.3022163E-07;0.0000000E+00;-0.8998767E+01;-0.2000000E+02;0.3224594E+02;0.0000000E+00;0.7602060E+01
0.30349090124605E+02;0.3036966E-07;0.0000000E+00;-0.8998646E+01;-0.2000000E+02;0.3224603E+02;0.0000000E+00;0.7602060E+01
