t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-0.9000000E+01;-0.2000000E+02;0.3224502E+02;0.0000000E+00;0.7602060E+01
0.10000000000000E+01;0.1005714E-08;0.0000000E+00;-0.8997526E+01;-0.2000000E+02;0.3224687E+02;0.0000000E+00;0.7602060E+01
0.25000000000000E+01;0.2527304E-08;0.0000000E+00;-0.8993794E+01;-0.2000000E+02;0.3224967E+02;0.0000000E+00;0.7602060E+01
0.47500000000000E+01;0.4839762E-08;0.0000000E+00;-0.8988109E+01;-0.2000000E+02;0.3225392E+02;0.0000000E+00;0.7602060E+01
0.81250000000000E+01;0.8379866E-08;0.0000000E+00;-0.8979258E+01;-0.2000000E+02;0.3226054E+02;0.0000000E+00;0.7602060E+01
0.13187500000000E+02;0.1387026E-07;0.0000000E+00;-0.8964762E+01;-0.2000000E+02;0.3227139E+02;0.0000000E+00;0.7602060E+01
0.20781250000000E+02;0.2264178E-07;0.0000000E+00;-0.8937381E+01;-0.2000000E+02;0.3229188E+02;0.0000000E+00;0.7602060E+01
0.23525674286573E+02;0.2591227E-07;0.0000000E+00;-0.8923839E+01;-0.2000000E+02;0.3230202E+02;0.0000000E+00;0.7602060E+01
0.24884164308427E+02;0.2756225E-07;0.0000000E+00;-0.8915579E+01;-0.2000000E+02;0.3230820E+02;0.0000000E+00;0.7602060E+01
0.26921899341207E+02;0.3013141E-07;0.0000000E+00;-0.8899357E+01;-0.2000000E+02;0.3232034E+02;0.0000000E+00;0.7602060E+01
0.27677416114828E+02;0.3110219E-07;0.0000000E+00;-0.8891119E+01;-0.2000000E+02;0.3232650E+02;0.0000000E+00;0.7602060E+01
0.28810691275259E+02;0.3261891E-07;0.0000000E+00;-0.8873432E+01;-0.2000000E+02;0.3233974E+02;0.0000000E+00;0.7602060E+01
0.29157898906924E+02;0.3309218E-07;0.0000000E+00;-0.8865477E+01;-0.2000000E+02;0.3234569E+02;0.0000000E+00;0.7602060E+01
0.29678710354421E+02;0.3383005E-07;0.0000000E+00;-0.8848700E+01;-0.2000000E+02;0.3235824E+02;0.0000000E+00;0.7602060E+01
0.29887834724184E+02;0.3413290E-07;0.0000000E+00;-0.8839183E+01;-0.2000000E+02;0.3236537E+02;0.0000000E+00;0.7602060E+01
0.30201521278830E+02;0.3460819E-07;0.0000000E+00;-0.8819533E+01;-0.2000000E+02;0.3238007E+02;0.0000000E+00;0.7602060E+01
0.30349090124605E+02;0.3483841E-07;0.0000000E+00;-0.8806867E+01;-0.2000000E+02;0.3238955E+02;0.0000000E+00;0.7602060E+01
0.30570443393268E+02;0.3520467E-07;0.0000000E+00;-0.8781285E+01;-0.2000000E+02;0.3240869E+02;0.0000000E+00;0.7602060E+01
0.30678176452555E+02;0.3538985E-07;0.0000000E+00;-0.8764760E+01;-0.2000000E+02;0.3242106E+02;0.0000000E+00;0.7602060E+01
