t;slip_2;slip_3;slip_rate_2;slip_rate_3;shear_stress_2;shear_stress_3;state
0.00000000000000E+00;0.0000000E+00;0.0000000E+00;-0.9000000E+01;-0.2000000E+02;0.3224502E+02;0.0000000E+00;0.7602060E+01
0.10000000000000E+01;0.1000125E-08;0.0000000E+00;-0.8999946E+01;-0.2000000E+02;0.3224506E+02;0.0000000E+00;0.7602060E+01
0.25000000000000E+01;0.2500601E-08;0.0000000E+00;-0.8999862E+01;-0.2000000E+02;0.3224512E+02;0.0000000E+00;0.7602060E+01
0.47500000000000E+01;0.4751999E-08;0.0000000E+00;-0.8999730E+01;-0.2000000E+02;0.3224522E+02;0.0000000E+00;0.7602060E+01
0.81250000000000E+01;0.8130771E-08;0.0000000E+00;-0.8999515E+01;-0.2000000E+02;0.3224538E+02;0.0000000E+00;0.7602060E+01
0.13187500000000E+02;0.1320335E-07;0.0000000E+00;-0.8999136E+01;-0.2000000E+02;0.3224567E+02;0.0000000E+00;0.7602060E+01
0.20781250000000E+02;0.2082641E-07;0.0000000E+00;-0.8998327E+01;-0.2000000E+02;0.3224627E+02;0.0000000E+00;0.7602060E+01
0.23525674286573E+02;0.2358428E-07;0.0000000E+00;-0.8997877E+01;-0.2000000E+02;0.3224661E+02;0.0000000E+00;0.7602060E+01
0.24884164308427E+02;0.2495036E-07;0.0000000E+00;-0.8997583E+01;-0.2000000E+02;0.3224683E+02;0.0000000E+00;0.7602060E+01
0.26921899341207E+02;0.2700240E-07;0.0000000E+00;-0.8996960E+01;-0.2000000E+02;0.3224730E+02;0.0000000E+00;0.7602060E+01
0.27677416114828E+02;0.2776382E-07;0.0000000E+00;-0.8996619E+01;-0.2000000E+02;0.3224755E+02;0.0000000E+00;0.7602060E+01
0.28810691275259E+02;0.2890803E-07;0.0000000E+00;-0.8995833E+01;-0.2000000E+02;0.3224814E+02;0.0000000E+00;0.7602060E+01
0.29157898906924E+02;0.2925888E-07;0.0000000E+00;-0.8995459E+01;-0.2000000E+02;0.3224842E+02;0.0000000E+00;0.7602060E+01
