t;max_slip_rate;moment_rate
0.00000000000000E+00;-0.3000000E+01;0.4613852E+16
0.10000000000000E+01;-0.2981961E+01;0.4725126E+16
0.25000000000000E+01;-0.2953574E+01;0.4912612E+16
0.47500000000000E+01;-0.2907613E+01;0.5244852E+16
0.81250000000000E+01;-0.2829369E+01;0.5885809E+16
0.13187500000000E+02;-0.2682429E+01;0.7348827E+16
0.20781250000000E+02;-0.2330404E+01;0.1258053E+17
0.23525674286573E+02;-0.2114511E+01;0.1754288E+17
0.24884164308427E+02;-0.1968935E+01;0.2203037E+17
0.26921899341207E+02;-0.1659517E+01;0.3643742E+17
0.27677416114828E+02;-0.1497612E+01;0.4816544E+17
0.28810691275259E+02;-0.1169116E+01;0.8903982E+17
0.29157898906924E+02;-0.1039018E+01;0.1160426E+18
0.29678710354421E+02;-0.8088471E+00;0.1916865E+18
0.29887834724184E+02;-0.7028467E+00;0.2450343E+18
0.30201521278830E+02;-0.5276864E+00;0.3746364E+18
0.30349090124605E+02;-0.4382816E+00;0.4691671E+18
0.30570443393268E+02;-0.2956011E+00;0.6786972E+18
0.30678176452555E+02;-0.2225203E+00;0.8235636E+18
0.30731504316902E+02;-0.1855678E+00;0.9092760E+18
0.30811496113422E+02;-0.1295858E+00;0.1058889E+19
0.30851092052699E+02;-0.1020553E+00;0.1143586E+19
0.30910485961616E+02;-0.6261080E-01;0.1285411E+19
0.30994396172899E+02;-0.2123568E-01;0.1516748E+19
0.31019840965636E+02;-0.1479596E-01;0.1593055E+19
0.31058008154741E+02;-0.5789367E-02;0.1710993E+19
0.31096723952581E+02;0.1862175E-02;0.1833074E+19
0.31133874949556E+02;0.9726610E-02;0.1951096E+19
0.31170509273571E+02;0.1714712E-01;0.2067468E+19
0.31206590444970E+02;0.2380498E-01;0.2181580E+19
0.31242140677907E+02;0.2834185E-01;0.2293202E+19
0.31277364729289E+02;0.3639648E-01;0.2402735E+19
0.31311896695715E+02;0.3987959E-01;0.2508912E+19
0.31346272189807E+02;0.4445222E-01;0.2613445E+19
0.31380158176251E+02;0.5041903E-01;0.2715407E+19
0.31413554980683E+02;0.5295342E-01;0.2814732E+19
0.31446863832404E+02;0.5673260E-01;0.2912440E+19
0.31479692284112E+02;0.5947635E-01;0.3007285E+19
0.31512247398947E+02;0.6242857E-01;0.3099526E+19
0.31544911765640E+02;0.6488932E-01;0.3189436E+19
0.31577201168988E+02;0.6927935E-01;0.3275228E+19
0.31608773684580E+02;0.7166990E-01;0.3356186E+19
0.31640170675599E+02;0.7515939E-01;0.3433615E+19
0.31671629219409E+02;0.7799607E-01;0.3507438E+19
0.31702735103789E+02;0.8076831E-01;0.3576163E+19
0.31733384965384E+02;0.8057130E-01;0.3639987E+19
0.31763964092306E+02;0.8510358E-01;0.3700902E+19
0.31794504912438E+02;0.8592158E-01;0.3759897E+19
0.31824731946221E+02;0.8805692E-01;0.3816146E+19
0.31856117114743E+02;0.8903108E-01;0.3871121E+19
0.31886160653016E+02;0.8864662E-01;0.3919953E+19
0.31915981662807E+02;0.9117057E-01;0.3965069E+19
0.31945778107574E+02;0.8815789E-01;0.4007172E+19
0.31975716733893E+02;0.9158673E-01;0.4046568E+19
0.32006094305848E+02;0.8882766E-01;0.4083338E+19
0.32035890897649E+02;0.8899891E-01;0.4115706E+19
0.32066998882215E+02;0.8913665E-01;0.4145078E+19
