 x2 x3 t
0 -35750.0 -20750.0 1000000000.0
1 -35750.0 -20250.0 1000000000.0
2 -35750.0 -19750.0 1000000000.0
3 -35750.0 -19250.0 1000000000.0
4 -35750.0 -18750.0 1000000000.0
5 -35750.0 -18250.0 1000000000.0
6 -35750.0 -17750.0 1000000000.0
7 -35750.0 -17250.0 1000000000.0
8 -35750.0 -16750.0 1000000000.0
9 -35750.0 -16250.0 1000000000.0
10 -35750.0 -15750.0 1000000000.0
11 -35750.0 -15250.0 1000000000.0
12 -35750.0 -14750.0 1000000000.0
13 -35750.0 -14250.0 1000000000.0
14 -35750.0 -13750.0 1000000000.0
15 -35750.0 -13250.0 1000000000.0
16 -35750.0 -12750.0 1000000000.0
17 -35750.0 -12250.0 1000000000.0
18 -35750.0 -11750.0 1000000000.0
19 -35750.0 -11250.0 1000000000.0
20 -35750.0 -10750.0 1000000000.0
21 -35750.0 -10250.0 1000000000.0
22 -35750.0 -9750.0 1000000000.0
23 -35750.0 -9250.0 1000000000.0
24 -35750.0 -8750.0 1000000000.0
25 -35750.0 -8250.0 1000000000.0
26 -35750.0 -7750.0 1000000000.0
27 -35750.0 -7250.0 1000000000.0
28 -35750.0 -6750.0 1000000000.0
29 -35750.0 -6250.0 1000000000.0
30 -35750.0 -5750.0 1000000000.0
31 -35750.0 -5250.0 1000000000.0
32 -35750.0 -4750.0 1000000000.0
33 -35750.0 -4250.0 1000000000.0
34 -35750.0 -3750.0 1000000000.0
35 -35750.0 -3250.0 1000000000.0
36 -35750.0 -2750.0 1000000000.0
37 -35750.0 -2250.0 1000000000.0
38 -35750.0 -1750.0 1000000000.0
39 -35750.0 -1250.0 1000000000.0
40 -35750.0 -750.0 1000000000.0
41 -35750.0 -250.0 1000000000.0
42 -35750.0 250.0 1000000000.0
43 -35750.0 750.0 1000000000.0
44 -35750.0 1250.0 1000000000.0
45 -35750.0 1750.0 1000000000.0
46 -35750.0 2250.0 1000000000.0
47 -35750.0 2750.0 1000000000.0
48 -35750.0 3250.0 1000000000.0
49 -35750.0 3750.0 1000000000.0
50 -35750.0 4250.0 1000000000.0
51 -35750.0 4750.0 1000000000.0
52 -35750.0 5250.0 1000000000.0
53 -35750.0 5750.0 1000000000.0
54 -35750.0 6250.0 1000000000.0
55 -35750.0 6750.0 1000000000.0
56 -35750.0 7250.0 1000000000.0
57 -35750.0 7750.0 1000000000.0
58 -35750.0 8250.0 1000000000.0
59 -35750.0 8750.0 1000000000.0
60 -35750.0 9250.0 1000000000.0
61 -35750.0 9750.0 1000000000.0
62 -35750.0 10250.0 1000000000.0
63 -35750.0 10750.0 1000000000.0
64 -35750.0 11250.0 1000000000.0
65 -35750.0 11750.0 1000000000.0
66 -35750.0 12250.0 1000000000.0
67 -35750.0 12750.0 1000000000.0
68 -35750.0 13250.0 1000000000.0
69 -35750.0 13750.0 1000000000.0
70 -35750.0 14250.0 1000000000.0
71 -35750.0 14750.0 1000000000.0
72 -35750.0 15250.0 1000000000.0
73 -35750.0 15750.0 1000000000.0
74 -35750.0 16250.0 1000000000.0
75 -35750.0 16750.0 1000000000.0
76 -35750.0 17250.0 1000000000.0
77 -35750.0 17750.0 1000000000.0
78 -35750.0 18250.0 1000000000.0
79 -35750.0 18750.0 1000000000.0
80 -35750.0 19250.0 1000000000.0
81 -35750.0 19750.0 1000000000.0
82 -35750.0 20250.0 1000000000.0
83 -35750.0 20750.0 1000000000.0
84 -35250.0 -20750.0 1000000000.0
85 -35250.0 -20250.0 1000000000.0
86 -35250.0 -19750.0 1000000000.0
87 -35250.0 -19250.0 1000000000.0
88 -35250.0 -18750.0 1000000000.0
89 -35250.0 -18250.0 1000000000.0
90 -35250.0 -17750.0 1000000000.0
91 -35250.0 -17250.0 1000000000.0
92 -35250.0 -16750.0 1000000000.0
93 -35250.0 -16250.0 1000000000.0
94 -35250.0 -15750.0 1000000000.0
95 -35250.0 -15250.0 1000000000.0
96 -35250.0 -14750.0 1000000000.0
97 -35250.0 -14250.0 1000000000.0
98 -35250.0 -13750.0 1000000000.0
99 -35250.0 -13250.0 1000000000.0
100 -35250.0 -12750.0 1000000000.0
101 -35250.0 -12250.0 1000000000.0
102 -35250.0 -11750.0 1000000000.0
103 -35250.0 -11250.0 1000000000.0
104 -35250.0 -10750.0 1000000000.0
105 -35250.0 -10250.0 1000000000.0
106 -35250.0 -9750.0 1000000000.0
107 -35250.0 -9250.0 1000000000.0
108 -35250.0 -8750.0 1000000000.0
109 -35250.0 -8250.0 1000000000.0
110 -35250.0 -7750.0 1000000000.0
111 -35250.0 -7250.0 1000000000.0
112 -35250.0 -6750.0 1000000000.0
113 -35250.0 -6250.0 1000000000.0
114 -35250.0 -5750.0 1000000000.0
115 -35250.0 -5250.0 1000000000.0
116 -35250.0 -4750.0 1000000000.0
117 -35250.0 -4250.0 1000000000.0
118 -35250.0 -3750.0 1000000000.0
119 -35250.0 -3250.0 1000000000.0
120 -35250.0 -2750.0 1000000000.0
121 -35250.0 -2250.0 1000000000.0
122 -35250.0 -1750.0 1000000000.0
123 -35250.0 -1250.0 1000000000.0
124 -35250.0 -750.0 1000000000.0
125 -35250.0 -250.0 1000000000.0
126 -35250.0 250.0 1000000000.0
127 -35250.0 750.0 1000000000.0
128 -35250.0 1250.0 1000000000.0
129 -35250.0 1750.0 1000000000.0
130 -35250.0 2250.0 1000000000.0
131 -35250.0 2750.0 1000000000.0
132 -35250.0 3250.0 1000000000.0
133 -35250.0 3750.0 1000000000.0
134 -35250.0 4250.0 1000000000.0
135 -35250.0 4750.0 1000000000.0
136 -35250.0 5250.0 1000000000.0
137 -35250.0 5750.0 1000000000.0
138 -35250.0 6250.0 1000000000.0
139 -35250.0 6750.0 1000000000.0
140 -35250.0 7250.0 1000000000.0
141 -35250.0 7750.0 1000000000.0
142 -35250.0 8250.0 1000000000.0
143 -35250.0 8750.0 1000000000.0
144 -35250.0 9250.0 1000000000.0
145 -35250.0 9750.0 1000000000.0
146 -35250.0 10250.0 1000000000.0
147 -35250.0 10750.0 1000000000.0
148 -35250.0 11250.0 1000000000.0
149 -35250.0 11750.0 1000000000.0
150 -35250.0 12250.0 1000000000.0
151 -35250.0 12750.0 1000000000.0
152 -35250.0 13250.0 1000000000.0
153 -35250.0 13750.0 1000000000.0
154 -35250.0 14250.0 1000000000.0
155 -35250.0 14750.0 1000000000.0
156 -35250.0 15250.0 1000000000.0
157 -35250.0 15750.0 1000000000.0
158 -35250.0 16250.0 1000000000.0
159 -35250.0 16750.0 1000000000.0
160 -35250.0 17250.0 1000000000.0
161 -35250.0 17750.0 1000000000.0
162 -35250.0 18250.0 1000000000.0
163 -35250.0 18750.0 1000000000.0
164 -35250.0 19250.0 1000000000.0
165 -35250.0 19750.0 1000000000.0
166 -35250.0 20250.0 1000000000.0
167 -35250.0 20750.0 1000000000.0
168 -34750.0 -20750.0 1000000000.0
169 -34750.0 -20250.0 1000000000.0
170 -34750.0 -19750.0 1000000000.0
171 -34750.0 -19250.0 1000000000.0
172 -34750.0 -18750.0 1000000000.0
173 -34750.0 -18250.0 1000000000.0
174 -34750.0 -17750.0 1000000000.0
175 -34750.0 -17250.0 1000000000.0
176 -34750.0 -16750.0 1000000000.0
177 -34750.0 -16250.0 1000000000.0
178 -34750.0 -15750.0 1000000000.0
179 -34750.0 -15250.0 1000000000.0
180 -34750.0 -14750.0 1000000000.0
181 -34750.0 -14250.0 1000000000.0
182 -34750.0 -13750.0 1000000000.0
183 -34750.0 -13250.0 1000000000.0
184 -34750.0 -12750.0 1000000000.0
185 -34750.0 -12250.0 1000000000.0
186 -34750.0 -11750.0 1000000000.0
187 -34750.0 -11250.0 1000000000.0
188 -34750.0 -10750.0 1000000000.0
189 -34750.0 -10250.0 1000000000.0
190 -34750.0 -9750.0 1000000000.0
191 -34750.0 -9250.0 1000000000.0
192 -34750.0 -8750.0 1000000000.0
193 -34750.0 -8250.0 1000000000.0
194 -34750.0 -7750.0 1000000000.0
195 -34750.0 -7250.0 1000000000.0
196 -34750.0 -6750.0 1000000000.0
197 -34750.0 -6250.0 1000000000.0
198 -34750.0 -5750.0 1000000000.0
199 -34750.0 -5250.0 1000000000.0
200 -34750.0 -4750.0 1000000000.0
201 -34750.0 -4250.0 1000000000.0
202 -34750.0 -3750.0 1000000000.0
203 -34750.0 -3250.0 1000000000.0
204 -34750.0 -2750.0 1000000000.0
205 -34750.0 -2250.0 1000000000.0
206 -34750.0 -1750.0 1000000000.0
207 -34750.0 -1250.0 1000000000.0
208 -34750.0 -750.0 1000000000.0
209 -34750.0 -250.0 1000000000.0
210 -34750.0 250.0 1000000000.0
211 -34750.0 750.0 1000000000.0
212 -34750.0 1250.0 1000000000.0
213 -34750.0 1750.0 1000000000.0
214 -34750.0 2250.0 1000000000.0
215 -34750.0 2750.0 1000000000.0
216 -34750.0 3250.0 1000000000.0
217 -34750.0 3750.0 1000000000.0
218 -34750.0 4250.0 1000000000.0
219 -34750.0 4750.0 1000000000.0
220 -34750.0 5250.0 1000000000.0
221 -34750.0 5750.0 1000000000.0
222 -34750.0 6250.0 1000000000.0
223 -34750.0 6750.0 1000000000.0
224 -34750.0 7250.0 1000000000.0
225 -34750.0 7750.0 1000000000.0
226 -34750.0 8250.0 1000000000.0
227 -34750.0 8750.0 1000000000.0
228 -34750.0 9250.0 1000000000.0
229 -34750.0 9750.0 1000000000.0
230 -34750.0 10250.0 1000000000.0
231 -34750.0 10750.0 1000000000.0
232 -34750.0 11250.0 1000000000.0
233 -34750.0 11750.0 1000000000.0
234 -34750.0 12250.0 1000000000.0
235 -34750.0 12750.0 1000000000.0
236 -34750.0 13250.0 1000000000.0
237 -34750.0 13750.0 1000000000.0
238 -34750.0 14250.0 1000000000.0
239 -34750.0 14750.0 1000000000.0
240 -34750.0 15250.0 1000000000.0
241 -34750.0 15750.0 1000000000.0
242 -34750.0 16250.0 1000000000.0
243 -34750.0 16750.0 1000000000.0
244 -34750.0 17250.0 1000000000.0
245 -34750.0 17750.0 1000000000.0
246 -34750.0 18250.0 1000000000.0
247 -34750.0 18750.0 1000000000.0
248 -34750.0 19250.0 1000000000.0
249 -34750.0 19750.0 1000000000.0
250 -34750.0 20250.0 1000000000.0
251 -34750.0 20750.0 1000000000.0
252 -34250.0 -20750.0 1000000000.0
253 -34250.0 -20250.0 1000000000.0
254 -34250.0 -19750.0 1000000000.0
255 -34250.0 -19250.0 1000000000.0
256 -34250.0 -18750.0 1000000000.0
257 -34250.0 -18250.0 1000000000.0
258 -34250.0 -17750.0 1000000000.0
259 -34250.0 -17250.0 1000000000.0
260 -34250.0 -16750.0 1000000000.0
261 -34250.0 -16250.0 1000000000.0
262 -34250.0 -15750.0 1000000000.0
263 -34250.0 -15250.0 1000000000.0
264 -34250.0 -14750.0 1000000000.0
265 -34250.0 -14250.0 1000000000.0
266 -34250.0 -13750.0 1000000000.0
267 -34250.0 -13250.0 1000000000.0
268 -34250.0 -12750.0 1000000000.0
269 -34250.0 -12250.0 1000000000.0
270 -34250.0 -11750.0 1000000000.0
271 -34250.0 -11250.0 1000000000.0
272 -34250.0 -10750.0 1000000000.0
273 -34250.0 -10250.0 1000000000.0
274 -34250.0 -9750.0 1000000000.0
275 -34250.0 -9250.0 1000000000.0
276 -34250.0 -8750.0 1000000000.0
277 -34250.0 -8250.0 1000000000.0
278 -34250.0 -7750.0 1000000000.0
279 -34250.0 -7250.0 1000000000.0
280 -34250.0 -6750.0 1000000000.0
281 -34250.0 -6250.0 1000000000.0
282 -34250.0 -5750.0 1000000000.0
283 -34250.0 -5250.0 1000000000.0
284 -34250.0 -4750.0 1000000000.0
285 -34250.0 -4250.0 1000000000.0
286 -34250.0 -3750.0 1000000000.0
287 -34250.0 -3250.0 1000000000.0
288 -34250.0 -2750.0 1000000000.0
289 -34250.0 -2250.0 1000000000.0
290 -34250.0 -1750.0 1000000000.0
291 -34250.0 -1250.0 1000000000.0
292 -34250.0 -750.0 1000000000.0
293 -34250.0 -250.0 1000000000.0
294 -34250.0 250.0 1000000000.0
295 -34250.0 750.0 1000000000.0
296 -34250.0 1250.0 1000000000.0
297 -34250.0 1750.0 1000000000.0
298 -34250.0 2250.0 1000000000.0
299 -34250.0 2750.0 1000000000.0
300 -34250.0 3250.0 1000000000.0
301 -34250.0 3750.0 1000000000.0
302 -34250.0 4250.0 1000000000.0
303 -34250.0 4750.0 1000000000.0
304 -34250.0 5250.0 1000000000.0
305 -34250.0 5750.0 1000000000.0
306 -34250.0 6250.0 1000000000.0
307 -34250.0 6750.0 1000000000.0
308 -34250.0 7250.0 1000000000.0
309 -34250.0 7750.0 1000000000.0
310 -34250.0 8250.0 1000000000.0
311 -34250.0 8750.0 1000000000.0
312 -34250.0 9250.0 1000000000.0
313 -34250.0 9750.0 1000000000.0
314 -34250.0 10250.0 1000000000.0
315 -34250.0 10750.0 1000000000.0
316 -34250.0 11250.0 1000000000.0
317 -34250.0 11750.0 1000000000.0
318 -34250.0 12250.0 1000000000.0
