Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk+000dp-120 (x2 = +0.00, x3 = -12.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:12 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
0.000000000000E+00 0 0.000000000000E+000 -9.06016 -16.1185 -3.220000076294E+001 -2.815013582818E-006 7.602059993903E+000
4.730784291480E+00 4.11943e-09 2.053020546898E-015 -9.06003 -15.0224 -3.220010000046E+001 3.511537071808E-005 7.602060000541E+000
2.176648428479E+01 1.89666e-08 5.709296908309E-014 -9.05931 -14.2108 -3.220063658948E+001 2.272089400712E-004 7.602060024303E+000
3.079169488441E+01 2.68476e-08 1.409368557311E-013 -9.05812 -13.832 -3.220153059844E+001 5.420500776046E-004 7.602060036726E+000
3.287664990357E+01 2.86741e-08 1.811628970551E-013 -9.05629 -13.5535 -3.220289919146E+001 1.024792554358E-003 7.602060039532E+000
3.354150115693E+01 2.92597e-08 2.052606897287E-013 -9.05347 -13.3136 -3.220500721673E+001 1.769192960188E-003 7.602060040393E+000
3.375324906029E+01 2.94473e-08 2.169629005582E-013 -9.05153 -13.201 -3.220646208242E+001 2.282821524948E-003 7.602060040655E+000
